recipe_node,recipe_id,recipe_name,recipe_type,recipe_type_id,time_spend_raw,handcraft,productive,non_productive,input_count,inputs_json,output_count,outputs_json,unlocking_technologies_json,product_scc
recipe:14,14,原油萃取站,Assemble,4,480,true,false,false,4,"[{""item_node"":""item:1103"",""item_id"":1103,""item_name"":""钢材"",""quantity"":12,""source_edge_id"":1786},{""item_node"":""item:1108"",""item_id"":1108,""item_name"":""石材"",""quantity"":12,""source_edge_id"":1787},{""item_node"":""item:1301"",""item_id"":1301,""item_name"":""电路板"",""quantity"":6,""source_edge_id"":1788},{""item_node"":""item:1401"",""item_id"":1401,""item_name"":""电浆激发器"",""quantity"":4,""source_edge_id"":1789}]",1,"[{""item_node"":""item:2307"",""item_id"":2307,""item_name"":""原油萃取站"",""quantity"":1,""source_edge_id"":1790}]","[{""tech_node"":""tech:1102"",""tech_id"":1102,""tech_name"":""Plasma Extract Refining"",""source_edge_id"":24}]",scc:0266
recipe:15,15,原油精炼厂,Assemble,4,360,true,false,false,4,"[{""item_node"":""item:1103"",""item_id"":1103,""item_name"":""钢材"",""quantity"":10,""source_edge_id"":1791},{""item_node"":""item:1108"",""item_id"":1108,""item_name"":""石材"",""quantity"":10,""source_edge_id"":1792},{""item_node"":""item:1301"",""item_id"":1301,""item_name"":""电路板"",""quantity"":6,""source_edge_id"":1793},{""item_node"":""item:1401"",""item_id"":1401,""item_name"":""电浆激发器"",""quantity"":6,""source_edge_id"":1794}]",1,"[{""item_node"":""item:2308"",""item_id"":2308,""item_name"":""原油精炼厂"",""quantity"":1,""source_edge_id"":1795}]","[{""tech_node"":""tech:1102"",""tech_id"":1102,""tech_name"":""Plasma Extract Refining"",""source_edge_id"":25}]",scc:0277
recipe:16,16,等离子精炼,Refine,3,240,false,false,false,1,"[{""item_node"":""item:1007"",""item_id"":1007,""item_name"":""原油"",""quantity"":2,""source_edge_id"":1796}]",2,"[{""item_node"":""item:1120"",""item_id"":1120,""item_name"":""氢"",""quantity"":1,""source_edge_id"":1797},{""item_node"":""item:1114"",""item_id"":1114,""item_name"":""精炼油"",""quantity"":2,""source_edge_id"":1798}]","[{""tech_node"":""tech:1102"",""tech_id"":1102,""tech_name"":""Plasma Extract Refining"",""source_edge_id"":26}]",scc:0288
recipe:17,17,高能石墨,Smelt,1,120,true,false,false,1,"[{""item_node"":""item:1006"",""item_id"":1006,""item_name"":""煤矿"",""quantity"":2,""source_edge_id"":1799}]",1,"[{""item_node"":""item:1109"",""item_id"":1109,""item_name"":""高能石墨"",""quantity"":1,""source_edge_id"":1800}]","[{""tech_node"":""tech:1402"",""tech_id"":1402,""tech_name"":""Smelting Purification"",""source_edge_id"":211}]",scc:0291
recipe:18,18,能量矩阵,Research,15,360,true,false,false,2,"[{""item_node"":""item:1109"",""item_id"":1109,""item_name"":""高能石墨"",""quantity"":2,""source_edge_id"":1801},{""item_node"":""item:1120"",""item_id"":1120,""item_name"":""氢"",""quantity"":2,""source_edge_id"":1802}]",1,"[{""item_node"":""item:6002"",""item_id"":6002,""item_name"":""Energy Matrix"",""quantity"":1,""source_edge_id"":1803}]","[{""tech_node"":""tech:1111"",""tech_id"":1111,""tech_name"":""Energy Matrix"",""source_edge_id"":42}]",scc:0100
recipe:19,19,氢燃料棒,Assemble,4,360,true,false,false,2,"[{""item_node"":""item:1106"",""item_id"":1106,""item_name"":""Titanium Ingot"",""quantity"":1,""source_edge_id"":1804},{""item_node"":""item:1120"",""item_id"":1120,""item_name"":""氢"",""quantity"":10,""source_edge_id"":1805}]",1,"[{""item_node"":""item:1801"",""item_id"":1801,""item_name"":""氢燃料棒"",""quantity"":2,""source_edge_id"":1806}]","[{""tech_node"":""tech:1112"",""tech_id"":1112,""tech_name"":""T氢燃料棒"",""source_edge_id"":45}]",scc:0292
recipe:20,20,推进器,Assemble,4,240,true,false,false,2,"[{""item_node"":""item:1103"",""item_id"":1103,""item_name"":""钢材"",""quantity"":2,""source_edge_id"":1807},{""item_node"":""item:1104"",""item_id"":1104,""item_name"":""铜块"",""quantity"":3,""source_edge_id"":1808}]",1,"[{""item_node"":""item:1405"",""item_id"":1405,""item_name"":""推进器2"",""quantity"":1,""source_edge_id"":1809}]","[{""tech_node"":""tech:1113"",""tech_id"":1113,""tech_name"":""Thruster"",""source_edge_id"":48}]",scc:0294
recipe:21,21,加力推进器,Assemble,4,360,true,false,false,2,"[{""item_node"":""item:1107"",""item_id"":1107,""item_name"":""钛合金"",""quantity"":5,""source_edge_id"":1810},{""item_node"":""item:1204"",""item_id"":1204,""item_name"":""电磁涡轮"",""quantity"":5,""source_edge_id"":1811}]",1,"[{""item_node"":""item:1406"",""item_id"":1406,""item_name"":""加力推进器"",""quantity"":1,""source_edge_id"":1812}]","[{""tech_node"":""tech:1114"",""tech_id"":1114,""tech_name"":""Reinforced Thruster"",""source_edge_id"":51}]",scc:0295
recipe:22,22,化工厂,Assemble,4,300,true,false,false,4,"[{""item_node"":""item:1103"",""item_id"":1103,""item_name"":""钢材"",""quantity"":8,""source_edge_id"":1813},{""item_node"":""item:1108"",""item_id"":1108,""item_name"":""石材"",""quantity"":8,""source_edge_id"":1814},{""item_node"":""item:1110"",""item_id"":1110,""item_name"":""玻璃"",""quantity"":8,""source_edge_id"":1815},{""item_node"":""item:1301"",""item_id"":1301,""item_name"":""电路板"",""quantity"":2,""source_edge_id"":1816}]",1,"[{""item_node"":""item:2309"",""item_id"":2309,""item_name"":""化工厂"",""quantity"":1,""source_edge_id"":1817}]","[{""tech_node"":""tech:1121"",""tech_id"":1121,""tech_name"":""T基础化工"",""source_edge_id"":60}]",scc:0296
recipe:23,23,塑料,Chemical,2,180,false,false,false,2,"[{""item_node"":""item:1114"",""item_id"":1114,""item_name"":""精炼油"",""quantity"":2,""source_edge_id"":1818},{""item_node"":""item:1109"",""item_id"":1109,""item_name"":""高能石墨"",""quantity"":1,""source_edge_id"":1819}]",1,"[{""item_node"":""item:1115"",""item_id"":1115,""item_name"":""塑料"",""quantity"":1,""source_edge_id"":1820}]","[{""tech_node"":""tech:1121"",""tech_id"":1121,""tech_name"":""T基础化工"",""source_edge_id"":61}]",scc:0100
recipe:24,24,硫酸,Chemical,2,360,false,false,false,3,"[{""item_node"":""item:1114"",""item_id"":1114,""item_name"":""精炼油"",""quantity"":6,""source_edge_id"":1821},{""item_node"":""item:1005"",""item_id"":1005,""item_name"":""Stone"",""quantity"":8,""source_edge_id"":1822},{""item_node"":""item:1000"",""item_id"":1000,""item_name"":""水"",""quantity"":4,""source_edge_id"":1823}]",1,"[{""item_node"":""item:1116"",""item_id"":1116,""item_name"":""硫酸"",""quantity"":4,""source_edge_id"":1824}]","[{""tech_node"":""tech:1121"",""tech_id"":1121,""tech_name"":""T基础化工"",""source_edge_id"":62}]",scc:0100
recipe:25,25,有机晶体,Chemical,2,360,false,false,false,3,"[{""item_node"":""item:1115"",""item_id"":1115,""item_name"":""塑料"",""quantity"":2,""source_edge_id"":1825},{""item_node"":""item:1114"",""item_id"":1114,""item_name"":""精炼油"",""quantity"":1,""source_edge_id"":1826},{""item_node"":""item:1000"",""item_id"":1000,""item_name"":""水"",""quantity"":1,""source_edge_id"":1827}]",1,"[{""item_node"":""item:1117"",""item_id"":1117,""item_name"":""Organic Crystal"",""quantity"":1,""source_edge_id"":1828}]","[{""tech_node"":""tech:1122"",""tech_id"":1122,""tech_name"":""T高分子化工"",""source_edge_id"":66}]",scc:0100
recipe:26,26,钛晶石,Assemble,4,240,true,false,false,2,"[{""item_node"":""item:1117"",""item_id"":1117,""item_name"":""Organic Crystal"",""quantity"":1,""source_edge_id"":1829},{""item_node"":""item:1106"",""item_id"":1106,""item_name"":""Titanium Ingot"",""quantity"":3,""source_edge_id"":1830}]",1,"[{""item_node"":""item:1118"",""item_id"":1118,""item_name"":""Titanium Crystal"",""quantity"":1,""source_edge_id"":1831}]","[{""tech_node"":""tech:1123"",""tech_id"":1123,""tech_name"":""High-Strength Crystal"",""source_edge_id"":71}]",scc:0100
recipe:27,27,结构矩阵,Research,15,480,true,false,false,2,"[{""item_node"":""item:1112"",""item_id"":1112,""item_name"":""金刚石"",""quantity"":1,""source_edge_id"":1832},{""item_node"":""item:1118"",""item_id"":1118,""item_name"":""Titanium Crystal"",""quantity"":1,""source_edge_id"":1833}]",1,"[{""item_node"":""item:6003"",""item_id"":6003,""item_name"":""Structure Matrix"",""quantity"":1,""source_edge_id"":1834}]","[{""tech_node"":""tech:1124"",""tech_id"":1124,""tech_name"":""Structure Matrix"",""source_edge_id"":75}]",scc:0100
recipe:28,28,卡西米尔晶体,Assemble,4,240,true,false,false,3,"[{""item_node"":""item:1118"",""item_id"":1118,""item_name"":""Titanium Crystal"",""quantity"":1,""source_edge_id"":1835},{""item_node"":""item:1123"",""item_id"":1123,""item_name"":""石墨烯"",""quantity"":2,""source_edge_id"":1836},{""item_node"":""item:1120"",""item_id"":1120,""item_name"":""氢"",""quantity"":12,""source_edge_id"":1837}]",1,"[{""item_node"":""item:1126"",""item_id"":1126,""item_name"":""卡西米尔晶体"",""quantity"":1,""source_edge_id"":1838}]","[{""tech_node"":""tech:1125"",""tech_id"":1125,""tech_name"":""T卡西米尔晶体"",""source_edge_id"":80}]",scc:0100
recipe:29,29,卡西米尔晶体（高效）,Assemble,4,240,false,false,false,3,"[{""item_node"":""item:1014"",""item_id"":1014,""item_name"":""光栅石"",""quantity"":8,""source_edge_id"":1839},{""item_node"":""item:1123"",""item_id"":1123,""item_name"":""石墨烯"",""quantity"":2,""source_edge_id"":1840},{""item_node"":""item:1120"",""item_id"":1120,""item_name"":""氢"",""quantity"":12,""source_edge_id"":1841}]",1,"[{""item_node"":""item:1126"",""item_id"":1126,""item_name"":""卡西米尔晶体"",""quantity"":1,""source_edge_id"":1842}]","[{""tech_node"":""tech:1125"",""tech_id"":1125,""tech_name"":""T卡西米尔晶体"",""source_edge_id"":81}]",scc:0100
recipe:30,30,钛化玻璃,Assemble,4,300,true,false,false,3,"[{""item_node"":""item:1110"",""item_id"":1110,""item_name"":""玻璃"",""quantity"":2,""source_edge_id"":1843},{""item_node"":""item:1106"",""item_id"":1106,""item_name"":""Titanium Ingot"",""quantity"":2,""source_edge_id"":1844},{""item_node"":""item:1000"",""item_id"":1000,""item_name"":""水"",""quantity"":2,""source_edge_id"":1845}]",1,"[{""item_node"":""item:1119"",""item_id"":1119,""item_name"":""钛化玻璃"",""quantity"":2,""source_edge_id"":1846}]","[{""tech_node"":""tech:1126"",""tech_id"":1126,""tech_name"":""T高强度玻璃"",""source_edge_id"":85}]",scc:0100
recipe:31,31,石墨烯,Chemical,2,180,false,false,false,2,"[{""item_node"":""item:1109"",""item_id"":1109,""item_name"":""高能石墨"",""quantity"":3,""source_edge_id"":1847},{""item_node"":""item:1116"",""item_id"":1116,""item_name"":""硫酸"",""quantity"":1,""source_edge_id"":1848}]",1,"[{""item_node"":""item:1123"",""item_id"":1123,""item_name"":""石墨烯"",""quantity"":2,""source_edge_id"":1849}]","[{""tech_node"":""tech:1131"",""tech_id"":1131,""tech_name"":""T应用型超导体"",""source_edge_id"":88}]",scc:0100
recipe:32,32,石墨烯（高效）,Chemical,2,120,false,false,false,1,"[{""item_node"":""item:1011"",""item_id"":1011,""item_name"":""可燃冰"",""quantity"":2,""source_edge_id"":1850}]",2,"[{""item_node"":""item:1123"",""item_id"":1123,""item_name"":""石墨烯"",""quantity"":2,""source_edge_id"":1851},{""item_node"":""item:1120"",""item_id"":1120,""item_name"":""氢"",""quantity"":1,""source_edge_id"":1852}]","[{""tech_node"":""tech:1131"",""tech_id"":1131,""tech_name"":""T应用型超导体"",""source_edge_id"":89}]",scc:0298
recipe:33,33,碳纳米管,Chemical,2,240,false,false,false,2,"[{""item_node"":""item:1123"",""item_id"":1123,""item_name"":""石墨烯"",""quantity"":3,""source_edge_id"":1853},{""item_node"":""item:1106"",""item_id"":1106,""item_name"":""Titanium Ingot"",""quantity"":1,""source_edge_id"":1854}]",1,"[{""item_node"":""item:1124"",""item_id"":1124,""item_name"":""碳纳米管"",""quantity"":2,""source_edge_id"":1855}]","[{""tech_node"":""tech:1132"",""tech_id"":1132,""tech_name"":""T高强度材料"",""source_edge_id"":93}]",scc:0100
recipe:34,34,硅石,Smelt,1,600,false,false,false,1,"[{""item_node"":""item:1005"",""item_id"":1005,""item_name"":""Stone"",""quantity"":10,""source_edge_id"":1856}]",1,"[{""item_node"":""item:1003"",""item_id"":1003,""item_name"":""Silicon Ore"",""quantity"":1,""source_edge_id"":1857}]","[{""tech_node"":""tech:1402"",""tech_id"":1402,""tech_name"":""Smelting Purification"",""source_edge_id"":210}]",scc:0299
recipe:35,35,碳纳米管（高效）,Chemical,2,240,false,false,false,1,"[{""item_node"":""item:1015"",""item_id"":1015,""item_name"":""刺笋结晶"",""quantity"":6,""source_edge_id"":1858}]",1,"[{""item_node"":""item:1124"",""item_id"":1124,""item_name"":""碳纳米管"",""quantity"":2,""source_edge_id"":1859}]","[{""tech_node"":""tech:1132"",""tech_id"":1132,""tech_name"":""T高强度材料"",""source_edge_id"":94}]",scc:0100
recipe:36,36,粒子宽带,Assemble,4,480,true,false,false,3,"[{""item_node"":""item:1124"",""item_id"":1124,""item_name"":""碳纳米管"",""quantity"":2,""source_edge_id"":1860},{""item_node"":""item:1113"",""item_id"":1113,""item_name"":""晶格硅"",""quantity"":2,""source_edge_id"":1861},{""item_node"":""item:1115"",""item_id"":1115,""item_name"":""塑料"",""quantity"":1,""source_edge_id"":1862}]",1,"[{""item_node"":""item:1402"",""item_id"":1402,""item_name"":""粒子宽带"",""quantity"":1,""source_edge_id"":1863}]","[{""tech_node"":""tech:1133"",""tech_id"":1133,""tech_name"":""T粒子可控技术"",""source_edge_id"":99}]",scc:0100
recipe:37,37,晶格硅,Smelt,1,120,false,false,false,1,"[{""item_node"":""item:1105"",""item_id"":1105,""item_name"":""High-Purity Silicon"",""quantity"":1,""source_edge_id"":1864}]",1,"[{""item_node"":""item:1113"",""item_id"":1113,""item_name"":""晶格硅"",""quantity"":1,""source_edge_id"":1865}]","[{""tech_node"":""tech:1403"",""tech_id"":1403,""tech_name"":""T晶体冶炼"",""source_edge_id"":218}]",scc:0100
recipe:38,38,位面过滤器,Assemble,4,720,true,false,false,2,"[{""item_node"":""item:1126"",""item_id"":1126,""item_name"":""卡西米尔晶体"",""quantity"":1,""source_edge_id"":1866},{""item_node"":""item:1119"",""item_id"":1119,""item_name"":""钛化玻璃"",""quantity"":2,""source_edge_id"":1867}]",1,"[{""item_node"":""item:1304"",""item_id"":1304,""item_name"":""位面过滤器"",""quantity"":1,""source_edge_id"":1868}]","[{""tech_node"":""tech:1141"",""tech_id"":1141,""tech_name"":""T波函数干扰"",""source_edge_id"":112}]",scc:0100
recipe:39,39,微型粒子对撞机,Assemble,4,900,true,false,false,5,"[{""item_node"":""item:1107"",""item_id"":1107,""item_name"":""钛合金"",""quantity"":20,""source_edge_id"":1869},{""item_node"":""item:1125"",""item_id"":1125,""item_name"":""框架材料"",""quantity"":20,""source_edge_id"":1870},{""item_node"":""item:1205"",""item_id"":1205,""item_name"":""超级磁场环"",""quantity"":25,""source_edge_id"":1871},{""item_node"":""item:1123"",""item_id"":1123,""item_name"":""石墨烯"",""quantity"":10,""source_edge_id"":1872},{""item_node"":""item:1303"",""item_id"":1303,""item_name"":""处理器"",""quantity"":8,""source_edge_id"":1873}]",1,"[{""item_node"":""item:2310"",""item_id"":2310,""item_name"":""微型粒子对撞机"",""quantity"":1,""source_edge_id"":1874}]","[{""tech_node"":""tech:1142"",""tech_id"":1142,""tech_name"":""T微型粒子对撞机"",""source_edge_id"":117}]",scc:0300
recipe:40,40,重氢,Particle,5,150,false,false,true,1,"[{""item_node"":""item:1120"",""item_id"":1120,""item_name"":""氢"",""quantity"":10,""source_edge_id"":1875}]",1,"[{""item_node"":""item:1121"",""item_id"":1121,""item_name"":""重氢"",""quantity"":5,""source_edge_id"":1876}]","[{""tech_node"":""tech:1142"",""tech_id"":1142,""tech_name"":""T微型粒子对撞机"",""source_edge_id"":118}]",scc:0100
recipe:41,41,氘核燃料棒,Assemble,4,720,true,false,false,3,"[{""item_node"":""item:1107"",""item_id"":1107,""item_name"":""钛合金"",""quantity"":1,""source_edge_id"":1877},{""item_node"":""item:1121"",""item_id"":1121,""item_name"":""重氢"",""quantity"":20,""source_edge_id"":1878},{""item_node"":""item:1205"",""item_id"":1205,""item_name"":""超级磁场环"",""quantity"":1,""source_edge_id"":1879}]",1,"[{""item_node"":""item:1802"",""item_id"":1802,""item_name"":""氘核燃料棒"",""quantity"":2,""source_edge_id"":1880}]","[{""tech_node"":""tech:1416"",""tech_id"":1416,""tech_name"":""T微型核聚变发电"",""source_edge_id"":246}]",scc:0302
recipe:42,42,湮灭约束球,Assemble,4,1200,true,false,false,2,"[{""item_node"":""item:1206"",""item_id"":1206,""item_name"":""粒子容器"",""quantity"":1,""source_edge_id"":1881},{""item_node"":""item:1303"",""item_id"":1303,""item_name"":""处理器"",""quantity"":1,""source_edge_id"":1882}]",1,"[{""item_node"":""item:1403"",""item_id"":1403,""item_name"":""湮灭约束球"",""quantity"":1,""source_edge_id"":1883}]","[{""tech_node"":""tech:1145"",""tech_id"":1145,""tech_name"":""T可控湮灭反应"",""source_edge_id"":134}]",scc:0303
recipe:43,43,人造恒星,Assemble,4,1800,true,false,false,4,"[{""item_node"":""item:1107"",""item_id"":1107,""item_name"":""钛合金"",""quantity"":20,""source_edge_id"":1884},{""item_node"":""item:1125"",""item_id"":1125,""item_name"":""框架材料"",""quantity"":20,""source_edge_id"":1885},{""item_node"":""item:1403"",""item_id"":1403,""item_name"":""湮灭约束球"",""quantity"":10,""source_edge_id"":1886},{""item_node"":""item:1305"",""item_id"":1305,""item_name"":""量子芯片"",""quantity"":10,""source_edge_id"":1887}]",1,"[{""item_node"":""item:2210"",""item_id"":2210,""item_name"":""人造恒星"",""quantity"":1,""source_edge_id"":1888}]","[{""tech_node"":""tech:1144"",""tech_id"":1144,""tech_name"":""T人造恒星"",""source_edge_id"":130}]",scc:0304
recipe:44,44,反物质燃料棒,Assemble,4,1440,false,false,true,4,"[{""item_node"":""item:1122"",""item_id"":1122,""item_name"":""反物质"",""quantity"":12,""source_edge_id"":1889},{""item_node"":""item:1120"",""item_id"":1120,""item_name"":""氢"",""quantity"":12,""source_edge_id"":1890},{""item_node"":""item:1403"",""item_id"":1403,""item_name"":""湮灭约束球"",""quantity"":1,""source_edge_id"":1891},{""item_node"":""item:1107"",""item_id"":1107,""item_name"":""钛合金"",""quantity"":1,""source_edge_id"":1892}]",1,"[{""item_node"":""item:1803"",""item_id"":1803,""item_name"":""反物质燃料棒"",""quantity"":2,""source_edge_id"":1893}]","[{""tech_node"":""tech:1145"",""tech_id"":1145,""tech_name"":""T可控湮灭反应"",""source_edge_id"":135}]",scc:0305
recipe:45,45,制造台 Mk.I,Assemble,4,120,true,false,false,3,"[{""item_node"":""item:1101"",""item_id"":1101,""item_name"":""铁块"",""quantity"":4,""source_edge_id"":1894},{""item_node"":""item:1201"",""item_id"":1201,""item_name"":""齿轮"",""quantity"":8,""source_edge_id"":1895},{""item_node"":""item:1301"",""item_id"":1301,""item_name"":""电路板"",""quantity"":4,""source_edge_id"":1896}]",1,"[{""item_node"":""item:2303"",""item_id"":2303,""item_name"":""制造台 Mk.I"",""quantity"":1,""source_edge_id"":1897}]","[{""tech_node"":""tech:1201"",""tech_id"":1201,""tech_name"":""T基础制造工艺"",""source_edge_id"":155}]",scc:0306
recipe:46,46,制造台 Mk.II,Assemble,4,180,true,false,false,3,"[{""item_node"":""item:2303"",""item_id"":2303,""item_name"":""制造台 Mk.I"",""quantity"":1,""source_edge_id"":1898},{""item_node"":""item:1123"",""item_id"":1123,""item_name"":""石墨烯"",""quantity"":8,""source_edge_id"":1899},{""item_node"":""item:1303"",""item_id"":1303,""item_name"":""处理器"",""quantity"":4,""source_edge_id"":1900}]",1,"[{""item_node"":""item:2304"",""item_id"":2304,""item_name"":""制造台 Mk.II"",""quantity"":1,""source_edge_id"":1901}]","[{""tech_node"":""tech:1202"",""tech_id"":1202,""tech_name"":""T高速制造工艺"",""source_edge_id"":161}]",scc:0307
recipe:47,47,制造台 Mk.III,Assemble,4,240,true,false,false,3,"[{""item_node"":""item:2304"",""item_id"":2304,""item_name"":""制造台 Mk.II"",""quantity"":1,""source_edge_id"":1902},{""item_node"":""item:1402"",""item_id"":1402,""item_name"":""粒子宽带"",""quantity"":8,""source_edge_id"":1903},{""item_node"":""item:1305"",""item_id"":1305,""item_name"":""量子芯片"",""quantity"":2,""source_edge_id"":1904}]",1,"[{""item_node"":""item:2305"",""item_id"":2305,""item_name"":""制造台 Mk.III"",""quantity"":1,""source_edge_id"":1905}]","[{""tech_node"":""tech:1203"",""tech_id"":1203,""tech_name"":""T量子打印技术"",""source_edge_id"":169}]",scc:0308
